dataset,series,model,family,origin,date,mase,seconds,mape,wql,cov80
uk_demand_30min,-,naive_last,naive,2048,2025-02-12,3.0456868553259935,1.979157483826081e-06,19.6417040652593,,
uk_demand_30min,-,naive_last,naive,6937,2025-05-25,2.0232029680232184,1.979157483826081e-06,18.967409458510044,,
uk_demand_30min,-,naive_last,naive,11827,2025-09-04,2.208184563866706,1.979157483826081e-06,17.121148690204997,,
uk_demand_30min,-,naive_last,naive,16716,2025-12-15,5.297159730353911,1.979157483826081e-06,29.023082208637863,,
uk_demand_30min,-,naive_last,naive,21606,2026-03-27,2.4295122687310813,1.979157483826081e-06,18.282355009576527,,
uk_demand_30min,-,naive_last,naive,26495,2026-07-06,1.5832895147762058,1.979157483826081e-06,13.891832865745569,,
uk_demand_30min,-,naive_mean,naive,2048,2025-02-12,3.2575706701424285,4.979160924752553e-06,17.36095283951587,,
uk_demand_30min,-,naive_mean,naive,6937,2025-05-25,5.902953818385083,4.979160924752553e-06,63.1680488096878,,
uk_demand_30min,-,naive_mean,naive,11827,2025-09-04,1.622797729482491,4.979160924752553e-06,12.353866404510455,,
uk_demand_30min,-,naive_mean,naive,16716,2025-12-15,3.8809966220753904,4.979160924752553e-06,20.82189989492136,,
uk_demand_30min,-,naive_mean,naive,21606,2026-03-27,1.6782525707007985,4.979160924752553e-06,13.577103690551647,,
uk_demand_30min,-,naive_mean,naive,26495,2026-07-06,2.3534452877291656,4.979160924752553e-06,22.350963458812345,,
uk_demand_30min,-,seasonal_naive,naive,2048,2025-02-12,0.2161961716333235,2.652833548684915e-06,1.2469226061979448,,
uk_demand_30min,-,seasonal_naive,naive,6937,2025-05-25,1.5966942015569134,2.652833548684915e-06,17.644234602082708,,
uk_demand_30min,-,seasonal_naive,naive,11827,2025-09-04,0.5839729050786394,2.652833548684915e-06,3.999218209197571,,
uk_demand_30min,-,seasonal_naive,naive,16716,2025-12-15,3.2640003677208393,2.652833548684915e-06,18.921196495363148,,
uk_demand_30min,-,seasonal_naive,naive,21606,2026-03-27,1.092486317156905,2.652833548684915e-06,8.722294305539073,,
uk_demand_30min,-,seasonal_naive,naive,26495,2026-07-06,0.5302991136672286,2.652833548684915e-06,4.535441265313827,,
uk_demand_30min,-,seasonal_profile,naive,2048,2025-02-12,0.6113618761959765,1.9583346632619698e-05,3.382124861661718,,
uk_demand_30min,-,seasonal_profile,naive,6937,2025-05-25,2.582320268362084,1.9583346632619698e-05,27.251674601265748,,
uk_demand_30min,-,seasonal_profile,naive,11827,2025-09-04,0.49155494828690915,1.9583346632619698e-05,3.2780603424344643,,
uk_demand_30min,-,seasonal_profile,naive,16716,2025-12-15,2.0982730544738324,1.9583346632619698e-05,12.13019449998483,,
uk_demand_30min,-,seasonal_profile,naive,21606,2026-03-27,0.666299401084496,1.9583346632619698e-05,5.1271228722128495,,
uk_demand_30min,-,seasonal_profile,naive,26495,2026-07-06,1.139718569274722,1.9583346632619698e-05,9.715538508875738,,
uk_demand_30min,-,autoets,statistical,2048,2025-02-12,3.281196023326037,0.7442835138256972,21.004920404112926,0.15108743662856652,64.58333333333334
uk_demand_30min,-,autoets,statistical,6937,2025-05-25,2.0232067144644357,0.7442835138256972,18.967443887478364,0.1628927739361906,60.416666666666664
uk_demand_30min,-,autoets,statistical,11827,2025-09-04,2.8189781511161978,0.7442835138256972,21.859507871549457,0.14842078133559075,47.91666666666667
uk_demand_30min,-,autoets,statistical,16716,2025-12-15,4.494940452079226,0.7442835138256972,24.1825649208814,0.23520034132741313,39.58333333333333
uk_demand_30min,-,autoets,statistical,21606,2026-03-27,3.1649709916094757,0.7442835138256972,24.07986331316579,0.19605283358446912,50.0
uk_demand_30min,-,autoets,statistical,26495,2026-07-06,1.5488654755599174,0.7442835138256972,11.88895536247655,0.1081638062982061,91.66666666666666
uk_demand_30min,-,autotheta,statistical,2048,2025-02-12,0.24282062711241278,0.2341744028381072,1.2522915983514336,0.014726464699897853,97.91666666666666
uk_demand_30min,-,autotheta,statistical,6937,2025-05-25,1.1317164388145946,0.2341744028381072,10.957388788797338,0.09335971062951849,39.58333333333333
uk_demand_30min,-,autotheta,statistical,11827,2025-09-04,1.2172042474916098,0.2341744028381072,8.936879319655104,0.06337423236420364,56.25
uk_demand_30min,-,autotheta,statistical,16716,2025-12-15,1.508014631283836,0.2341744028381072,8.734198759217595,0.07203103426773247,52.083333333333336
uk_demand_30min,-,autotheta,statistical,21606,2026-03-27,0.6407233293054327,0.2341744028381072,4.983275461764719,0.046832923049020946,72.91666666666666
uk_demand_30min,-,autotheta,statistical,26495,2026-07-06,0.5718713562336636,0.2341744028381072,4.4619758003810635,0.03789491647728644,97.91666666666666
uk_demand_30min,-,gbdt_calendar,ml,2048,2025-02-12,1.4409514666544514,0.9970377221664725,9.55036848677165,,
uk_demand_30min,-,gbdt_calendar,ml,6937,2025-05-25,1.7908142122847617,0.9970377221664725,19.508383017278963,,
uk_demand_30min,-,gbdt_calendar,ml,11827,2025-09-04,1.504021304682898,0.9970377221664725,10.322576511171851,,
uk_demand_30min,-,gbdt_calendar,ml,16716,2025-12-15,2.181261648614754,0.9970377221664725,12.304504856775951,,
uk_demand_30min,-,gbdt_calendar,ml,21606,2026-03-27,1.3771318919762847,0.9970377221664725,11.583648065670804,,
uk_demand_30min,-,gbdt_calendar,ml,26495,2026-07-06,0.9630890100124994,0.9970377221664725,8.634675543756913,,
uk_demand_30min,-,timesfm_2p5_ctx2048,timesfm,2048,2025-02-12,0.2287459627477451,0.6486819791607559,1.220886013089061,0.010382565255776958,100.0
uk_demand_30min,-,timesfm_2p5_ctx2048,timesfm,6937,2025-05-25,1.175579891820149,0.6486819791607559,12.05605856621195,0.09521114650588029,41.66666666666667
uk_demand_30min,-,timesfm_2p5_ctx2048,timesfm,11827,2025-09-04,0.35084990561430573,0.6486819791607559,2.4584166022977083,0.018996311339399233,81.25
uk_demand_30min,-,timesfm_2p5_ctx2048,timesfm,16716,2025-12-15,0.3991138799573068,0.6486819791607559,2.39061535866415,0.018619120972769906,87.5
uk_demand_30min,-,timesfm_2p5_ctx2048,timesfm,21606,2026-03-27,0.9059017612383143,0.6486819791607559,6.995189447715933,0.06592156506329075,64.58333333333334
uk_demand_30min,-,timesfm_2p5_ctx2048,timesfm,26495,2026-07-06,0.5007310900005316,0.6486819791607559,3.8840135231481194,0.0383297708454242,77.08333333333334
uk_demand_30min,-,chronos_2_ctx2048,chronos,2048,2025-02-12,0.19930647382696723,0.8053089166642167,1.0591930533245058,0.009600657617085381,95.83333333333334
uk_demand_30min,-,chronos_2_ctx2048,chronos,6937,2025-05-25,1.2019994562952347,0.8053089166642167,12.286769021577687,0.0915057060318076,70.83333333333334
uk_demand_30min,-,chronos_2_ctx2048,chronos,11827,2025-09-04,0.3582875065506933,0.8053089166642167,2.497107114924493,0.019275684941737686,91.66666666666666
uk_demand_30min,-,chronos_2_ctx2048,chronos,16716,2025-12-15,1.3676551130327386,0.8053089166642167,7.99473258907471,0.06418586497139644,16.666666666666664
uk_demand_30min,-,chronos_2_ctx2048,chronos,21606,2026-03-27,0.621809012583488,0.8053089166642167,4.8125263560856775,0.041117135866999034,70.83333333333334
uk_demand_30min,-,chronos_2_ctx2048,chronos,26495,2026-07-06,0.3433895830088974,0.8053089166642167,2.702277186372701,0.027478825387521916,91.66666666666666
