dataset,series,model,family,origin,date,mase,seconds,mape,wql,cov80
uk_demand_daily,-,naive_last,naive,273,2025-10-01,0.9632597930402242,2.3437460185959935e-06,7.5963842825984385,,
uk_demand_daily,-,naive_last,naive,312,2025-11-09,1.7513819448710615,2.3437460185959935e-06,9.616047118717933,,
uk_demand_daily,-,naive_last,naive,351,2025-12-18,1.3221904097094428,2.3437460185959935e-06,6.867701342944087,,
uk_demand_daily,-,naive_last,naive,390,2026-01-26,1.7386152525130432,2.3437460185959935e-06,8.773992267438805,,
uk_demand_daily,-,naive_last,naive,428,2026-03-05,0.7711094679270392,2.3437460185959935e-06,4.709201913167486,,
uk_demand_daily,-,naive_last,naive,467,2026-04-13,1.6922085723330538,2.3437460185959935e-06,12.174128179034915,,
uk_demand_daily,-,naive_last,naive,506,2026-05-22,1.3206135817471363,2.3437460185959935e-06,11.95971908089378,,
uk_demand_daily,-,naive_last,naive,545,2026-06-30,0.9442954064702669,2.3437460185959935e-06,8.517235679544664,,
uk_demand_daily,-,naive_mean,naive,273,2025-10-01,0.9411407889569581,4.18224954046309e-06,7.365539273284427,,
uk_demand_daily,-,naive_mean,naive,312,2025-11-09,1.9050203496350846,4.18224954046309e-06,10.476653372650004,,
uk_demand_daily,-,naive_mean,naive,351,2025-12-18,2.611994154711256,4.18224954046309e-06,13.102178734737674,,
uk_demand_daily,-,naive_mean,naive,390,2026-01-26,3.618667325421554,4.18224954046309e-06,18.52592617657296,,
uk_demand_daily,-,naive_mean,naive,428,2026-03-05,1.2773930219580392,4.18224954046309e-06,7.480902451550765,,
uk_demand_daily,-,naive_mean,naive,467,2026-04-13,1.4351521326809404,4.18224954046309e-06,11.499410048799394,,
uk_demand_daily,-,naive_mean,naive,506,2026-05-22,3.0193103329576,4.18224954046309e-06,26.66436188881966,,
uk_demand_daily,-,naive_mean,naive,545,2026-06-30,2.832324085191418,4.18224954046309e-06,25.36355593299553,,
uk_demand_daily,-,seasonal_naive,naive,273,2025-10-01,0.7459998659474918,2.906250301748514e-06,5.6465816386220995,,
uk_demand_daily,-,seasonal_naive,naive,312,2025-11-09,0.7427704110806046,2.906250301748514e-06,4.133909542313479,,
uk_demand_daily,-,seasonal_naive,naive,351,2025-12-18,1.2674768822483038,2.906250301748514e-06,6.492332230401257,,
uk_demand_daily,-,seasonal_naive,naive,390,2026-01-26,0.6831779274560396,2.906250301748514e-06,3.5514175970896873,,
uk_demand_daily,-,seasonal_naive,naive,428,2026-03-05,1.1379196627420378,2.906250301748514e-06,6.9007021432567495,,
uk_demand_daily,-,seasonal_naive,naive,467,2026-04-13,0.8573448994005936,2.906250301748514e-06,6.109924948419389,,
uk_demand_daily,-,seasonal_naive,naive,506,2026-05-22,1.2467339057779208,2.906250301748514e-06,11.113355214842583,,
uk_demand_daily,-,seasonal_naive,naive,545,2026-06-30,1.3887160707004789,2.906250301748514e-06,12.426801082654316,,
uk_demand_daily,-,seasonal_profile,naive,273,2025-10-01,0.6705767266827913,2.0307255908846855e-05,4.774592520845741,,
uk_demand_daily,-,seasonal_profile,naive,312,2025-11-09,0.759898129683274,2.0307255908846855e-05,4.263794987621463,,
uk_demand_daily,-,seasonal_profile,naive,351,2025-12-18,0.9613336072726669,2.0307255908846855e-05,4.922558721630275,,
uk_demand_daily,-,seasonal_profile,naive,390,2026-01-26,0.334858889973673,2.0307255908846855e-05,1.736446389653488,,
uk_demand_daily,-,seasonal_profile,naive,428,2026-03-05,1.2418118410205476,2.0307255908846855e-05,7.736474854609512,,
uk_demand_daily,-,seasonal_profile,naive,467,2026-04-13,0.7812010423499784,2.0307255908846855e-05,6.011832159889842,,
uk_demand_daily,-,seasonal_profile,naive,506,2026-05-22,1.1000924245980848,2.0307255908846855e-05,9.69594508904181,,
uk_demand_daily,-,seasonal_profile,naive,545,2026-06-30,0.7861582403871641,2.0307255908846855e-05,7.2491658277641395,,
uk_demand_daily,-,autoets,statistical,273,2025-10-01,0.42638155874568767,0.17815573437837884,3.3214047710578973,0.02856043397449443,100.0
uk_demand_daily,-,autoets,statistical,312,2025-11-09,0.5319076465451835,0.17815573437837884,2.9764897433786524,0.024147065880855925,100.0
uk_demand_daily,-,autoets,statistical,351,2025-12-18,0.7219543460121638,0.17815573437837884,3.7210700372987002,0.030491264523191,85.71428571428571
uk_demand_daily,-,autoets,statistical,390,2026-01-26,0.6432158003903141,0.17815573437837884,3.2871974654323073,0.027467988062135247,85.71428571428571
uk_demand_daily,-,autoets,statistical,428,2026-03-05,1.2611014100560531,0.17815573437837884,7.616981561052448,0.05341293787286952,57.14285714285714
uk_demand_daily,-,autoets,statistical,467,2026-04-13,0.5405603882048716,0.17815573437837884,3.9309945070149337,0.0384195351422896,71.42857142857143
uk_demand_daily,-,autoets,statistical,506,2026-05-22,0.8107829890140975,0.17815573437837884,7.113907684883741,0.04963768366845614,100.0
uk_demand_daily,-,autoets,statistical,545,2026-06-30,0.5830779377560832,0.17815573437837884,5.235833357758326,0.04335217768320603,85.71428571428571
uk_demand_daily,-,autotheta,statistical,273,2025-10-01,0.4105481650495044,0.07344994788581971,3.15657890379344,0.026748999970650725,100.0
uk_demand_daily,-,autotheta,statistical,312,2025-11-09,0.5631356745844068,0.07344994788581971,3.1725031221518396,0.026342623872283387,100.0
uk_demand_daily,-,autotheta,statistical,351,2025-12-18,0.7075383462900969,0.07344994788581971,3.6643552073964787,0.028214097316911435,100.0
uk_demand_daily,-,autotheta,statistical,390,2026-01-26,0.41758383778871244,0.07344994788581971,2.176028444629809,0.021946631563041902,100.0
uk_demand_daily,-,autotheta,statistical,428,2026-03-05,1.3214304775292525,0.07344994788581971,7.970770195922581,0.05924535238978237,57.14285714285714
uk_demand_daily,-,autotheta,statistical,467,2026-04-13,0.6612873492248242,0.07344994788581971,4.7956715363260525,0.04475695433706893,71.42857142857143
uk_demand_daily,-,autotheta,statistical,506,2026-05-22,0.876112647355066,0.07344994788581971,7.737597418125623,0.05332478664949258,85.71428571428571
uk_demand_daily,-,autotheta,statistical,545,2026-06-30,0.5748464472473853,0.07344994788581971,5.140867611239457,0.042107169192848834,85.71428571428571
uk_demand_daily,-,mstl,statistical,273,2025-10-01,0.47147382094518897,0.011963692624703981,3.674817251452082,0.02963623522579491,100.0
uk_demand_daily,-,mstl,statistical,312,2025-11-09,0.39422807598303194,0.011963692624703981,2.2086637294422578,0.0210969845894448,100.0
uk_demand_daily,-,mstl,statistical,351,2025-12-18,0.7400236388372097,0.011963692624703981,3.801383142917273,0.03041990658116723,85.71428571428571
uk_demand_daily,-,mstl,statistical,390,2026-01-26,0.9268954087585107,0.011963692624703981,4.698087145806133,0.03678008837626973,71.42857142857143
uk_demand_daily,-,mstl,statistical,428,2026-03-05,1.2462757487519438,0.011963692624703981,7.561531174393746,0.0519645611686933,71.42857142857143
uk_demand_daily,-,mstl,statistical,467,2026-04-13,0.6450417118551584,0.011963692624703981,4.656586795131346,0.043599603153359485,71.42857142857143
uk_demand_daily,-,mstl,statistical,506,2026-05-22,0.9535592265101731,0.011963692624703981,8.465315262226843,0.06401684149651189,42.857142857142854
uk_demand_daily,-,mstl,statistical,545,2026-06-30,0.6175423683804205,0.011963692624703981,5.615344643321851,0.04578721417567195,85.71428571428571
uk_demand_daily,-,gbdt_calendar,ml,273,2025-10-01,0.7467469599291034,0.62109253637027,5.20873810082629,,
uk_demand_daily,-,gbdt_calendar,ml,312,2025-11-09,0.9318265593994102,0.62109253637027,5.215642568455932,,
uk_demand_daily,-,gbdt_calendar,ml,351,2025-12-18,0.9756373322219865,0.62109253637027,5.024671493028331,,
uk_demand_daily,-,gbdt_calendar,ml,390,2026-01-26,1.571187340764615,0.62109253637027,8.041209097350015,,
uk_demand_daily,-,gbdt_calendar,ml,428,2026-03-05,1.03992049899919,0.62109253637027,6.243338086425121,,
uk_demand_daily,-,gbdt_calendar,ml,467,2026-04-13,0.7612051375305234,0.62109253637027,5.519149374350736,,
